what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1322636887917
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1322636887917
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1322636887917
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1322636887917
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1322636887917
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1322636887917
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1322636887919
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1322636887919
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1322636887919
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1322636887920
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1322636887920
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1322636887920
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1322636887920
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1322636887920
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1322636887920
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1322636887921
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1322636887921
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1322636887921
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1322636887921
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1322636887921
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322636887921
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322636887921
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322636887923
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322636887925
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1322636887925
os,sysinfo,,,"macosx",1322636887929
arch,sysinfo,,,"x86_64",1322636887929
ws,sysinfo,,,"cocoa",1322636887929
locale,sysinfo,,,"en_US",1322636887929
processors,sysinfo,,,"2",1322636887929
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322636887929
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1322636887929
java.specification.name,sysinfo,,,"Java Platform API Specification",1322636887929
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322636887929
java.specification.version,sysinfo,,,"1.6",1322636887929
java.vendor,sysinfo,,,"Apple Inc.",1322636887929
java.version,sysinfo,,,"1.6.0_29",1322636887929
java.vm.info,sysinfo,,,"mixed mode",1322636887929
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322636887929
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322636887929
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322636887929
java.vm.specification.version,sysinfo,,,"1.0",1322636887929
